Class,Atom,Snippet,Line
org.greenrobot.greendao.generator.ToManyBase,Conditional Operator,String sourceName = (sourceEntity != null) ? sourceEntity.getClassName() : null,105
org.greenrobot.greendao.generator.ToManyBase,Conditional Operator,String targetName = (targetEntity != null) ? targetEntity.getClassName() : null,106
org.greenrobot.greendao.generator.ToOne,Conditional Operator,String sourceName = (sourceEntity != null) ? sourceEntity.getClassName() : null,131
org.greenrobot.greendao.generator.ToOne,Conditional Operator,String targetName = (targetEntity != null) ? targetEntity.getClassName() : null,132
org.greenrobot.greendao.generator.DaoUtil,Logic as Control Flow,if ((javaDoc != null) && (!javaDoc.trim().startsWith("/**"))) {    javaDoc = javaDoc.replace("\n" ("\n" + indent) + " * ");    javaDoc = ((((((indent + "/**\n") + indent) + " * ") + javaDoc) + "\n") + indent) + " */";},109
org.greenrobot.greendao.generator.Schema,Conditional Operator,this.prefix = (name.equals(DEFAULT_NAME)) ? "" : DaoUtil.capFirst(name),50
org.greenrobot.greendao.generator.DaoGenerator,Conditional Operator,File outDirEntityFile = (outDirEntity != null) ? toFileForceExists(outDirEntity) : outDirFile,112
org.greenrobot.greendao.generator.DaoGenerator,Conditional Operator,File outDirTestFile = (outDirTest != null) ? toFileForceExists(outDirTest) : null,113
org.greenrobot.greendao.generator.DaoGenerator,Logic as Control Flow,if ((entity != null) && entity.getHasKeepSections()) {    checkKeepSections(file root);},179
